ticker,announcement_date,announcement_date_close_price,price_at_day_1,absolute_price_difference_at_day_1,percent_price_difference_at_day_1,price_at_day_3,absolute_price_difference_at_day_3,percent_price_difference_at_day_3,price_at_day_5,absolute_price_difference_at_day_5,percent_price_difference_at_day_5,price_at_day_10,absolute_price_difference_at_day_10,percent_price_difference_at_day_10,price_at_day_30,absolute_price_difference_at_day_30,percent_price_difference_at_day_30
wix,2015-11-04 00:00:00,22.63,22.74,0.11,0.48,23.14,0.51,2.2,23.06,0.43,1.86,23.87,1.24,5.19,23.35,0.72,3.08
wix,2015-08-05 00:00:00,22.87,21.71,-1.16,-5.34,22.45,-0.42,-1.87,21.74,-1.13,-5.2,22.41,-0.46,-2.05,19.5,-3.37,-17.28
wix,2015-05-06 00:00:00,22.46,23.52,1.06,4.51,23.51,1.05,4.47,23.84,1.38,5.79,25.39,2.93,11.54,24.08,1.62,6.73
wix,2015-02-11 00:00:00,19.21,19.1,-0.11,-0.58,18.84,-0.37,-1.96,18.86,-0.35,-1.86,18.91,-0.3,-1.59,18.34,-0.87,-4.74
yelp,2017-11-01 00:00:00,46.03,45.98,-0.05,-0.11,45.65,-0.38,-0.83,45.11,-0.92,-2.04,45.59,-0.44,-0.97,,,
yelp,2017-08-03 00:00:00,31.37,40.05,8.68,21.67,41.69,10.32,24.75,40.93,9.56,23.36,41.43,10.06,24.28,42.91,11.54,26.89
yelp,2017-05-09 00:00:00,34.7,28.33,-6.37,-22.48,28.7,-6.0,-20.91,28.52,-6.18,-21.67,27.78,-6.92,-24.91,29.44,-5.26,-17.87
yelp,2017-02-09 00:00:00,41.49,35.83,-5.66,-15.8,35.85,-5.64,-15.73,34.77,-6.72,-19.33,33.47,-8.02,-23.96,32.77,-8.72,-26.61
yelp,2016-11-02 00:00:00,35.71,35.56,-0.15,-0.42,37.21,1.5,4.03,38.29,2.58,6.74,36.51,0.8,2.19,35.31,-0.4,-1.13
yelp,2016-08-09 00:00:00,32.64,36.83,4.19,11.38,38.48,5.84,15.18,37.54,4.9,13.05,37.62,4.98,13.24,37.22,4.58,12.31
yelp,2016-02-08 00:00:00,16.06,15.69,-0.37,-2.36,15.23,-0.83,-5.45,15.56,-0.5,-3.21,19.07,3.01,15.78,20.5,4.44,21.66
yelp,2015-10-28 00:00:00,22.07,22.95,0.88,3.83,23.8,1.73,7.27,24.42,2.35,9.62,24.98,2.91,11.65,30.0,7.93,26.43
yelp,2015-07-28 00:00:00,33.51,25.06,-8.45,-33.72,26.4,-7.11,-26.93,26.18,-7.33,-28.0,25.35,-8.16,-32.19,23.98,-9.53,-39.74
yelp,2015-04-29 00:00:00,51.28,39.39,-11.89,-30.19,39.61,-11.67,-29.46,38.22,-13.06,-34.17,47.84,-3.44,-7.19,44.46,-6.82,-15.34
yelp,2015-02-05 00:00:00,57.47,45.11,-12.36,-27.4,44.66,-12.81,-28.68,47.63,-9.84,-20.66,47.34,-10.13,-21.4,45.18,-12.29,-27.2
